date,size,firm,Con,Lab,LibDem,UKIP,Green,SNP,PLPW,BP,ChUK
2014-01-29,1884,YouGov,35.0,38.0,10.0,11.0,2.0,NA,NA,NA,NA
2014-01-30,2044,Populus,32.0,39.0,11.0,10.0,3.0,NA,NA,NA,NA
2014-01-30,1942,YouGov,32.0,42.0,8.0,12.0,2.0,NA,NA,NA,NA
2014-01-31,1972,Opinium,29.0,36.0,8.0,17.0,3.0,NA,NA,NA,NA
2014-01-31,1885,YouGov,34.0,39.0,8.0,11.0,3.0,NA,NA,NA,NA
2014-02-02,2043,Populus,32.0,41.0,11.0,9.0,3.0,NA,NA,NA,NA
2014-02-03,1012,Ipsos MORI,31.0,38.0,12.0,10.0,3.0,NA,NA,NA,NA
2014-02-03,1741,YouGov,33.0,38.0,11.0,11.0,1.0,NA,NA,NA,NA
2014-02-04,1942,YouGov,33.0,39.0,8.0,13.0,3.0,NA,NA,NA,NA
2014-02-05,1902,YouGov,35.0,39.0,9.0,10.0,2.0,NA,NA,NA,NA
2014-02-06,2015,Populus,33.0,36.0,9.0,15.0,2.0,NA,NA,NA,NA
2014-02-06,1911,YouGov,32.0,38.0,10.0,14.0,2.0,NA,NA,NA,NA
2014-02-07,1521,YouGov,35.0,39.0,10.0,10.0,3.0,NA,NA,NA,NA
2014-02-09,1002,ICM,34.0,38.0,10.0,11.0,3.0,NA,NA,NA,NA
2014-02-09,2013,Populus,34.0,36.0,11.0,12.0,3.0,NA,NA,NA,NA
2014-02-10,1685,YouGov,33.0,39.0,10.0,12.0,2.0,NA,NA,NA,NA
2014-02-11,1899,YouGov,34.0,39.0,10.0,11.0,2.0,NA,NA,NA,NA
2014-02-12,1826,YouGov,32.0,39.0,8.0,13.0,2.0,NA,NA,NA,NA
2014-02-13,2031,ComRes,32.0,37.0,9.0,15.0,2.0,NA,NA,NA,NA
2014-02-13,2015,Populus,32.0,38.0,9.0,14.0,3.0,NA,NA,NA,NA
2014-02-13,1896,YouGov,33.0,39.0,9.0,12.0,2.0,NA,NA,NA,NA
2014-02-14,1969,Opinium,28.0,37.0,8.0,17.0,2.0,NA,NA,NA,NA
2014-02-14,1868,YouGov,32.0,39.0,9.0,12.0,3.0,NA,NA,NA,NA
2014-02-16,2031,Populus,33.0,38.0,10.0,13.0,3.0,NA,NA,NA,NA
2014-02-17,1645,YouGov,33.0,40.0,9.0,11.0,2.0,NA,NA,NA,NA
2014-02-18,1758,YouGov,33.0,40.0,8.0,12.0,3.0,NA,NA,NA,NA
2014-02-19,1766,YouGov,33.0,37.0,10.0,12.0,3.0,NA,NA,NA,NA
2014-02-20,2066,Populus,32.0,38.0,9.0,13.0,3.0,NA,NA,NA,NA
2014-02-20,1756,YouGov,34.0,39.0,9.0,12.0,2.0,NA,NA,NA,NA
2014-02-21,2141,YouGov,32.0,39.0,8.0,12.0,2.0,NA,NA,NA,NA
2014-02-23,2052,Populus,32.0,37.0,10.0,15.0,2.0,NA,NA,NA,NA
2014-02-24,1773,YouGov,33.0,38.0,10.0,13.0,2.0,NA,NA,NA,NA
2014-02-25,1936,YouGov,33.0,39.0,10.0,11.0,3.0,NA,NA,NA,NA
2014-02-26,2062,YouGov,34.0,40.0,10.0,11.0,3.0,NA,NA,NA,NA
2014-02-27,1131,Populus,33.0,38.0,9.0,13.0,3.0,NA,NA,NA,NA
2014-02-27,14203,Populus,33.0,37.0,10.0,14.0,3.0,NA,NA,NA,NA
2014-02-27,1868,YouGov,34.0,39.0,8.0,12.0,3.0,NA,NA,NA,NA
2014-02-28,1946,Opinium,29.0,34.0,10.0,19.0,3.0,NA,NA,NA,NA
2014-02-28,2098,YouGov,33.0,38.0,9.0,13.0,2.0,NA,NA,NA,NA
2014-03-02,1004,ComRes,30.0,38.0,10.0,11.0,4.0,NA,NA,NA,NA
2014-03-02,2055,Populus,34.0,37.0,10.0,12.0,3.0,NA,NA,NA,NA
2014-03-03,1868,YouGov,32.0,41.0,8.0,12.0,1.0,NA,NA,NA,NA
2014-03-04,2041,YouGov,34.0,38.0,9.0,13.0,2.0,NA,NA,NA,NA
2014-03-05,1868,YouGov,34.0,37.0,10.0,11.0,3.0,NA,NA,NA,NA
2014-03-06,2025,Populus,34.0,37.0,9.0,12.0,3.0,NA,NA,NA,NA
2014-03-06,1833,YouGov,31.0,40.0,9.0,13.0,3.0,NA,NA,NA,NA
2014-03-07,2029,YouGov,32.0,39.0,10.0,14.0,2.0,NA,NA,NA,NA
2014-03-09,2058,Populus,34.0,38.0,9.0,12.0,3.0,NA,NA,NA,NA
2014-03-10,3195,YouGov,32.0,39.0,8.0,13.0,3.0,NA,NA,NA,NA
2014-03-11,1003,ICM,35.0,38.0,12.0,9.0,3.0,NA,NA,NA,NA
2014-03-11,2040,YouGov,34.0,38.0,10.0,12.0,2.0,NA,NA,NA,NA
2014-03-12,1000,Ipsos MORI,32.0,35.0,13.0,11.0,5.0,NA,NA,NA,NA
2014-03-12,1971,Opinium,30.0,35.0,10.0,16.0,3.0,NA,NA,NA,NA
2014-03-12,2095,YouGov,35.0,37.0,9.0,13.0,2.0,NA,NA,NA,NA
2014-03-13,2001,ComRes,32.0,35.0,9.0,16.0,3.0,NA,NA,NA,NA
2014-03-13,2053,Populus,34.0,35.0,10.0,13.0,2.0,NA,NA,NA,NA
2014-03-13,2098,YouGov,33.0,38.0,11.0,10.0,2.0,NA,NA,NA,NA
2014-03-14,1946,YouGov,33.0,40.0,8.0,12.0,2.0,NA,NA,NA,NA
2014-03-16,2053,Populus,32.0,36.0,10.0,13.0,3.0,NA,NA,NA,NA
2014-03-17,1919,YouGov,32.0,40.0,9.0,11.0,3.0,NA,NA,NA,NA
2014-03-18,2284,YouGov,34.0,38.0,11.0,11.0,3.0,NA,NA,NA,NA
2014-03-19,2088,YouGov,33.0,38.0,11.0,11.0,3.0,NA,NA,NA,NA
2014-03-20,2122,Populus,34.0,38.0,9.0,12.0,2.0,NA,NA,NA,NA
2014-03-20,1904,YouGov,34.0,39.0,10.0,10.0,2.0,NA,NA,NA,NA
2014-03-21,1000,Survation,34.0,35.0,9.0,15.0,2.0,NA,NA,NA,NA
2014-03-21,2103,YouGov,36.0,37.0,9.0,11.0,2.0,NA,NA,NA,NA
2014-03-23,1024,ComRes,31.0,36.0,9.0,11.0,5.0,NA,NA,NA,NA
2014-03-23,2039,Populus,34.0,35.0,10.0,13.0,2.0,NA,NA,NA,NA
2014-03-24,1558,YouGov,36.0,38.0,10.0,10.0,2.0,NA,NA,NA,NA
2014-03-25,1958,YouGov,35.0,38.0,10.0,10.0,2.0,NA,NA,NA,NA
2014-03-26,2070,YouGov,35.0,37.0,9.0,11.0,2.0,NA,NA,NA,NA
2014-03-27,2039,YouGov,35.0,36.0,10.0,11.0,3.0,NA,NA,NA,NA
2014-03-28,1936,Opinium,32.0,33.0,10.0,15.0,3.0,NA,NA,NA,NA
2014-03-28,2066,Populus,35.0,37.0,8.0,12.0,3.0,NA,NA,NA,NA
2014-03-28,1916,YouGov,33.0,40.0,9.0,11.0,2.0,NA,NA,NA,NA
2014-03-30,2008,Populus,34.0,37.0,10.0,11.0,3.0,NA,NA,NA,NA
2014-03-30,16424,Populus,34.0,37.0,9.0,12.0,3.0,NA,NA,NA,NA
2014-03-31,1696,YouGov,34.0,37.0,11.0,13.0,2.0,NA,NA,NA,NA
2014-04-01,1981,YouGov,33.0,37.0,10.0,12.0,2.0,NA,NA,NA,NA
2014-04-02,2148,YouGov,32.0,38.0,10.0,13.0,2.0,NA,NA,NA,NA
2014-04-03,2067,Populus,33.0,37.0,10.0,13.0,2.0,NA,NA,NA,NA
2014-04-03,2076,YouGov,32.0,38.0,10.0,13.0,3.0,NA,NA,NA,NA
2014-04-04,1001,Survation,29.0,36.0,10.0,20.0,2.0,NA,NA,NA,NA
2014-04-04,1998,YouGov,34.0,39.0,9.0,12.0,2.0,NA,NA,NA,NA
2014-04-06,2034,Populus,34.0,37.0,9.0,14.0,3.0,NA,NA,NA,NA
2014-04-07,1002,Ipsos MORI,31.0,37.0,9.0,15.0,3.0,NA,NA,NA,NA
2014-04-07,1748,YouGov,33.0,36.0,10.0,14.0,2.0,NA,NA,NA,NA
2014-04-08,2144,YouGov,33.0,37.0,10.0,13.0,2.0,NA,NA,NA,NA
2014-04-09,2061,YouGov,33.0,36.0,10.0,14.0,2.0,NA,NA,NA,NA
2014-04-10,2003,ComRes,29.0,35.0,7.0,20.0,4.0,NA,NA,NA,NA
2014-04-10,1972,Opinium,30.0,36.0,7.0,18.0,3.0,NA,NA,NA,NA
2014-04-10,2051,Populus,34.0,35.0,11.0,12.0,2.0,NA,NA,NA,NA
2014-04-10,2111,YouGov,32.0,38.0,8.0,14.0,2.0,NA,NA,NA,NA
2014-04-11,2036,YouGov,32.0,38.0,8.0,14.0,2.0,NA,NA,NA,NA
2014-04-13,1000,ComRes,30.0,36.0,9.0,12.0,4.0,NA,NA,NA,NA
2014-04-13,1000,ICM,32.0,37.0,12.0,11.0,2.0,NA,NA,NA,NA
2014-04-13,2011,Populus,33.0,35.0,11.0,13.0,2.0,NA,NA,NA,NA
2014-04-14,1541,YouGov,33.0,38.0,9.0,12.0,3.0,NA,NA,NA,NA
2014-04-15,2162,YouGov,34.0,37.0,10.0,13.0,2.0,NA,NA,NA,NA
2014-04-16,2069,Populus,34.0,35.0,9.0,14.0,3.0,NA,NA,NA,NA
2014-04-16,2166,YouGov,33.0,39.0,9.0,11.0,3.0,NA,NA,NA,NA
2014-04-17,1884,YouGov,33.0,35.0,11.0,15.0,2.0,NA,NA,NA,NA
2014-04-21,2049,Populus,33.0,36.0,10.0,13.0,3.0,NA,NA,NA,NA
2014-04-22,2190,YouGov,34.0,37.0,10.0,12.0,2.0,NA,NA,NA,NA
2014-04-23,2143,YouGov,32.0,37.0,10.0,15.0,2.0,NA,NA,NA,NA
2014-04-24,2055,Populus,35.0,35.0,9.0,13.0,3.0,NA,NA,NA,NA
2014-04-24,2072,YouGov,32.0,38.0,8.0,14.0,4.0,NA,NA,NA,NA
2014-04-25,1965,Opinium,32.0,34.0,7.0,18.0,3.0,NA,NA,NA,NA
2014-04-25,1835,YouGov,31.0,36.0,9.0,15.0,4.0,NA,NA,NA,NA
2014-04-27,2052,Populus,32.0,35.0,10.0,15.0,3.0,NA,NA,NA,NA
2014-04-28,1629,YouGov,32.0,37.0,10.0,15.0,2.0,NA,NA,NA,NA
2014-04-29,1804,YouGov,32.0,37.0,9.0,14.0,3.0,NA,NA,NA,NA
2014-04-30,1898,YouGov,31.0,37.0,9.0,15.0,3.0,NA,NA,NA,NA
2014-05-01,2060,Populus,34.0,35.0,9.0,14.0,3.0,NA,NA,NA,NA
2014-05-01,18448,Populus,34.0,36.0,10.0,13.0,3.0,NA,NA,NA,NA
2014-05-01,1813,YouGov,33.0,36.0,10.0,14.0,3.0,NA,NA,NA,NA
2014-05-01,1844,YouGov,33.0,36.0,10.0,15.0,2.0,NA,NA,NA,NA
2014-05-02,1945,YouGov,33.0,36.0,9.0,15.0,4.0,NA,NA,NA,NA
2014-05-03,1005,Survation,33.0,34.0,8.0,18.0,4.0,NA,NA,NA,NA
2014-05-05,2034,Populus,33.0,36.0,8.0,14.0,4.0,NA,NA,NA,NA
2014-05-06,1933,YouGov,34.0,35.0,9.0,14.0,3.0,NA,NA,NA,NA
2014-05-07,1858,YouGov,34.0,37.0,8.0,13.0,3.0,NA,NA,NA,NA
2014-05-08,1997,Opinium,29.0,33.0,9.0,20.0,4.0,NA,NA,NA,NA
2014-05-08,2006,Populus,32.0,36.0,8.0,16.0,4.0,NA,NA,NA,NA
2014-05-08,1875,YouGov,34.0,35.0,8.0,13.0,4.0,NA,NA,NA,NA
2014-05-09,1005,Survation,28.0,33.0,10.0,20.0,3.0,NA,NA,NA,NA
2014-05-09,1905,YouGov,31.0,38.0,9.0,13.0,4.0,NA,NA,NA,NA
2014-05-11,1000,ICM,33.0,31.0,13.0,15.0,4.0,NA,NA,NA,NA
2014-05-11,1001,Lord Ashcroft,34.0,32.0,9.0,15.0,5.0,NA,NA,NA,NA
2014-05-11,2056,Populus,35.0,36.0,8.0,13.0,3.0,NA,NA,NA,NA
2014-05-12,1003,Ipsos MORI,31.0,34.0,9.0,11.0,8.0,NA,NA,NA,NA
2014-05-12,1680,YouGov,35.0,36.0,9.0,14.0,3.0,NA,NA,NA,NA
2014-05-13,1977,YouGov,34.0,34.0,8.0,15.0,3.0,NA,NA,NA,NA
2014-05-14,1968,YouGov,32.0,35.0,10.0,13.0,4.0,NA,NA,NA,NA
2014-05-15,2045,ComRes,29.0,33.0,8.0,19.0,4.0,NA,NA,NA,NA
2014-05-15,2043,Populus,32.0,36.0,10.0,13.0,3.0,NA,NA,NA,NA
2014-05-15,2083,YouGov,34.0,36.0,8.0,13.0,4.0,NA,NA,NA,NA
2014-05-16,1892,YouGov,34.0,37.0,9.0,13.0,4.0,NA,NA,NA,NA
2014-05-18,1008,ComRes,30.0,35.0,8.0,14.0,5.0,NA,NA,NA,NA
2014-05-18,1006,Lord Ashcroft,29.0,35.0,9.0,14.0,5.0,NA,NA,NA,NA
2014-05-18,2026,Populus,35.0,34.0,8.0,14.0,3.0,NA,NA,NA,NA
2014-05-19,1740,YouGov,33.0,37.0,9.0,11.0,6.0,NA,NA,NA,NA
2014-05-20,1106,Survation,28.0,34.0,9.0,20.0,3.0,NA,NA,NA,NA
2014-05-20,1874,YouGov,33.0,35.0,11.0,13.0,3.0,NA,NA,NA,NA
2014-05-21,6124,YouGov,33.0,36.0,9.0,13.0,4.0,NA,NA,NA,NA
2014-05-22,2045,Populus,34.0,36.0,9.0,14.0,3.0,NA,NA,NA,NA
2014-05-22,1922,YouGov,34.0,34.0,9.0,14.0,5.0,NA,NA,NA,NA
2014-05-23,1968,Opinium,32.0,33.0,7.0,19.0,4.0,NA,NA,NA,NA
2014-05-23,1017,Survation,27.0,32.0,9.0,23.0,3.0,NA,NA,NA,NA
2014-05-23,1898,YouGov,34.0,35.0,9.0,13.0,5.0,NA,NA,NA,NA
2014-05-25,1000,Lord Ashcroft,29.0,31.0,8.0,17.0,7.0,NA,NA,NA,NA
2014-05-26,2060,Populus,34.0,36.0,9.0,14.0,3.0,NA,NA,NA,NA
2014-05-27,2079,YouGov,32.0,34.0,8.0,15.0,5.0,NA,NA,NA,NA
2014-05-28,2109,YouGov,32.0,36.0,9.0,14.0,5.0,NA,NA,NA,NA
2014-05-29,2010,Populus,34.0,35.0,9.0,14.0,4.0,NA,NA,NA,NA
2014-05-29,2123,YouGov,31.0,38.0,7.0,16.0,4.0,NA,NA,NA,NA
2014-05-30,2090,YouGov,33.0,36.0,7.0,15.0,4.0,NA,NA,NA,NA
2014-06-01,1000,Lord Ashcroft,25.0,34.0,6.0,19.0,7.0,NA,NA,NA,NA
2014-06-01,2062,Populus,32.0,37.0,10.0,13.0,3.0,NA,NA,NA,NA
2014-06-02,1740,YouGov,30.0,36.0,8.0,17.0,5.0,NA,NA,NA,NA
2014-06-03,1962,YouGov,32.0,36.0,8.0,14.0,5.0,NA,NA,NA,NA
2014-06-04,1951,YouGov,32.0,37.0,7.0,13.0,5.0,NA,NA,NA,NA
2014-06-05,1950,Opinium,31.0,35.0,6.0,19.0,4.0,NA,NA,NA,NA
2014-06-05,2107,YouGov,31.0,37.0,8.0,15.0,5.0,NA,NA,NA,NA
2014-06-06,2006,Populus,34.0,35.0,9.0,14.0,5.0,NA,NA,NA,NA
2014-06-06,2134,YouGov,33.0,37.0,7.0,14.0,5.0,NA,NA,NA,NA
2014-06-08,1003,Lord Ashcroft,28.0,32.0,8.0,17.0,7.0,NA,NA,NA,NA
2014-06-08,2039,Populus,35.0,36.0,9.0,14.0,3.0,NA,NA,NA,NA
2014-06-09,1685,YouGov,31.0,37.0,7.0,15.0,5.0,NA,NA,NA,NA
2014-06-10,1974,YouGov,35.0,37.0,8.0,12.0,3.0,NA,NA,NA,NA
2014-06-11,2157,YouGov,34.0,36.0,6.0,14.0,5.0,NA,NA,NA,NA
2014-06-12,2051,Populus,32.0,35.0,8.0,15.0,5.0,NA,NA,NA,NA
2014-06-12,1195,TNS-BMRB,29.0,35.0,6.0,23.0,7.0,NA,NA,NA,NA
2014-06-12,2183,YouGov,32.0,38.0,8.0,12.0,5.0,NA,NA,NA,NA
2014-06-12,2337,YouGov,33.0,36.0,8.0,14.0,5.0,NA,NA,NA,NA
2014-06-13,2034,ComRes,32.0,34.0,7.0,18.0,4.0,NA,NA,NA,NA
2014-06-13,2106,YouGov,33.0,37.0,8.0,13.0,5.0,NA,NA,NA,NA
2014-06-15,1001,ICM,31.0,32.0,10.0,16.0,6.0,NA,NA,NA,NA
2014-06-15,1001,Lord Ashcroft,29.0,35.0,8.0,15.0,6.0,NA,NA,NA,NA
2014-06-15,2036,Populus,33.0,37.0,9.0,13.0,4.0,NA,NA,NA,NA
2014-06-16,1696,YouGov,32.0,36.0,10.0,14.0,5.0,NA,NA,NA,NA
2014-06-17,1001,Ipsos MORI,31.0,34.0,8.0,14.0,8.0,NA,NA,NA,NA
2014-06-17,1897,YouGov,34.0,37.0,7.0,13.0,4.0,NA,NA,NA,NA
2014-06-18,2066,YouGov,34.0,38.0,7.0,13.0,5.0,NA,NA,NA,NA
2014-06-19,1946,Opinium,31.0,35.0,7.0,17.0,5.0,NA,NA,NA,NA
2014-06-19,2032,Populus,34.0,36.0,8.0,13.0,3.0,NA,NA,NA,NA
2014-06-19,2097,YouGov,33.0,37.0,8.0,15.0,3.0,NA,NA,NA,NA
2014-06-20,2016,YouGov,32.0,38.0,8.0,14.0,5.0,NA,NA,NA,NA
2014-06-22,1006,Lord Ashcroft,28.0,33.0,9.0,17.0,7.0,NA,NA,NA,NA
2014-06-22,2062,Populus,32.0,37.0,9.0,13.0,3.0,NA,NA,NA,NA
2014-06-23,1652,YouGov,32.0,36.0,9.0,15.0,4.0,NA,NA,NA,NA
2014-06-24,1984,YouGov,33.0,36.0,8.0,15.0,4.0,NA,NA,NA,NA
2014-06-25,2044,YouGov,32.0,37.0,7.0,14.0,5.0,NA,NA,NA,NA
2014-06-26,2021,Populus,34.0,35.0,8.0,13.0,5.0,NA,NA,NA,NA
2014-06-26,1996,YouGov,33.0,38.0,8.0,13.0,4.0,NA,NA,NA,NA
2014-06-27,1000,Survation,27.0,36.0,7.0,22.0,5.0,NA,NA,NA,NA
2014-06-27,1936,YouGov,33.0,37.0,8.0,14.0,5.0,NA,NA,NA,NA
2014-06-29,1005,ComRes,30.0,32.0,7.0,18.0,5.0,NA,NA,NA,NA
2014-06-29,1006,Lord Ashcroft,33.0,31.0,9.0,15.0,6.0,NA,NA,NA,NA
2014-06-29,2049,Populus,33.0,37.0,10.0,12.0,4.0,NA,NA,NA,NA
2014-06-30,1729,YouGov,35.0,37.0,8.0,12.0,3.0,NA,NA,NA,NA
2014-07-01,2073,YouGov,33.0,38.0,8.0,11.0,5.0,NA,NA,NA,NA
2014-07-02,1991,YouGov,35.0,37.0,8.0,12.0,5.0,NA,NA,NA,NA
2014-07-03,1946,Opinium,29.0,35.0,7.0,18.0,5.0,NA,NA,NA,NA
2014-07-03,2029,Populus,34.0,35.0,9.0,14.0,4.0,NA,NA,NA,NA
2014-07-03,1611,YouGov,35.0,36.0,8.0,12.0,4.0,NA,NA,NA,NA
2014-07-04,2095,YouGov,34.0,36.0,8.0,13.0,5.0,NA,NA,NA,NA
2014-07-06,1005,Lord Ashcroft,27.0,34.0,11.0,15.0,6.0,NA,NA,NA,NA
2014-07-06,2053,Populus,31.0,38.0,9.0,14.0,4.0,NA,NA,NA,NA
2014-07-07,1650,YouGov,34.0,37.0,9.0,13.0,4.0,NA,NA,NA,NA
2014-07-08,2072,YouGov,31.0,38.0,8.0,12.0,5.0,NA,NA,NA,NA
2014-07-09,2034,YouGov,32.0,36.0,10.0,12.0,5.0,NA,NA,NA,NA
2014-07-10,2052,Populus,34.0,36.0,8.0,12.0,3.0,NA,NA,NA,NA
2014-07-10,2022,YouGov,34.0,37.0,8.0,12.0,5.0,NA,NA,NA,NA
2014-07-11,1963,YouGov,33.0,38.0,9.0,12.0,4.0,NA,NA,NA,NA
2014-07-13,1000,ICM,34.0,33.0,12.0,9.0,4.0,NA,NA,NA,NA
2014-07-13,1000,Lord Ashcroft,32.0,36.0,7.0,14.0,6.0,NA,NA,NA,NA
2014-07-13,2055,Populus,34.0,37.0,9.0,12.0,5.0,NA,NA,NA,NA
2014-07-14,1745,YouGov,35.0,38.0,8.0,10.0,4.0,NA,NA,NA,NA
2014-07-15,1000,Ipsos MORI,32.0,35.0,8.0,12.0,8.0,NA,NA,NA,NA
2014-07-15,2072,YouGov,34.0,38.0,6.0,13.0,4.0,NA,NA,NA,NA
2014-07-16,2107,YouGov,33.0,36.0,9.0,13.0,4.0,NA,NA,NA,NA
2014-07-17,2038,YouGov,32.0,39.0,8.0,13.0,4.0,NA,NA,NA,NA
2014-07-17,1967,Opinium,30.0,34.0,9.0,17.0,4.0,NA,NA,NA,NA
2014-07-17,2007,Populus,35.0,35.0,8.0,14.0,3.0,NA,NA,NA,NA
2014-07-17,1191,TNS-BMRB,29.0,36.0,7.0,19.0,9.0,NA,NA,NA,NA
2014-07-18,2054,ComRes,31.0,34.0,9.0,17.0,4.0,NA,NA,NA,NA
2014-07-18,2078,YouGov,32.0,37.0,9.0,13.0,5.0,NA,NA,NA,NA
2014-07-20,1007,Lord Ashcroft,27.0,35.0,7.0,17.0,7.0,NA,NA,NA,NA
2014-07-20,2035,Populus,32.0,37.0,9.0,13.0,4.0,NA,NA,NA,NA
2014-07-21,2107,YouGov,34.0,38.0,9.0,11.0,4.0,NA,NA,NA,NA
2014-07-22,1904,YouGov,34.0,37.0,7.0,14.0,5.0,NA,NA,NA,NA
2014-07-23,1897,YouGov,34.0,38.0,8.0,12.0,4.0,NA,NA,NA,NA
2014-07-24,2035,Populus,35.0,37.0,9.0,9.0,4.0,NA,NA,NA,NA
2014-07-24,2065,YouGov,35.0,38.0,8.0,11.0,4.0,NA,NA,NA,NA
2014-07-25,1741,YouGov,35.0,36.0,8.0,13.0,5.0,NA,NA,NA,NA
2014-07-27,1001,ComRes,27.0,33.0,8.0,17.0,7.0,NA,NA,NA,NA
2014-07-27,1000,Lord Ashcroft,32.0,34.0,9.0,14.0,6.0,NA,NA,NA,NA
2014-07-27,2024,Populus,33.0,37.0,9.0,12.0,4.0,NA,NA,NA,NA
2014-07-28,1658,YouGov,33.0,39.0,8.0,12.0,4.0,NA,NA,NA,NA
2014-07-29,2004,YouGov,34.0,35.0,8.0,12.0,6.0,NA,NA,NA,NA
2014-07-30,2100,YouGov,35.0,37.0,8.0,12.0,4.0,NA,NA,NA,NA
2014-07-31,2027,Populus,35.0,36.0,8.0,13.0,4.0,NA,NA,NA,NA
2014-07-31,2023,YouGov,34.0,38.0,8.0,13.0,4.0,NA,NA,NA,NA
2014-08-01,1979,Opinium,32.0,35.0,7.0,15.0,5.0,NA,NA,NA,NA
2014-08-01,2083,YouGov,35.0,38.0,7.0,12.0,4.0,NA,NA,NA,NA
2014-08-03,1002,Lord Ashcroft,30.0,33.0,8.0,18.0,6.0,NA,NA,NA,NA
2014-08-03,2021,Populus,35.0,37.0,9.0,12.0,3.0,NA,NA,NA,NA
2014-08-04,1617,YouGov,34.0,38.0,6.0,13.0,4.0,NA,NA,NA,NA
2014-08-05,1977,YouGov,33.0,38.0,8.0,12.0,4.0,NA,NA,NA,NA
2014-08-06,1944,YouGov,34.0,37.0,9.0,12.0,4.0,NA,NA,NA,NA
2014-08-07,2050,Populus,36.0,35.0,9.0,11.0,3.0,NA,NA,NA,NA
2014-08-07,2016,YouGov,33.0,38.0,7.0,12.0,4.0,NA,NA,NA,NA
2014-08-08,1943,YouGov,33.0,37.0,8.0,13.0,4.0,NA,NA,NA,NA
2014-08-10,1002,ICM,31.0,38.0,12.0,10.0,4.0,NA,NA,NA,NA
2014-08-11,1003,Ipsos MORI,33.0,33.0,7.0,13.0,7.0,NA,NA,NA,NA
2014-08-11,2031,Populus,33.0,37.0,9.0,12.0,3.0,NA,NA,NA,NA
2014-08-11,1676,YouGov,33.0,37.0,8.0,12.0,5.0,NA,NA,NA,NA
2014-08-12,1942,YouGov,35.0,38.0,8.0,11.0,4.0,NA,NA,NA,NA
2014-08-13,2116,YouGov,34.0,36.0,10.0,12.0,4.0,NA,NA,NA,NA
2014-08-14,2018,Populus,32.0,35.0,9.0,14.0,5.0,NA,NA,NA,NA
2014-08-14,1984,YouGov,35.0,35.0,8.0,12.0,5.0,NA,NA,NA,NA
2014-08-15,1963,Opinium,28.0,32.0,10.0,21.0,4.0,NA,NA,NA,NA
